Date,y
1/25/2017,38
1/26/2017,70
1/27/2017,40
1/28/2017,56
1/29/2017,56
1/30/2017,28
1/31/2017,25
2/1/2017,33
2/2/2017,32
2/3/2017,33
2/4/2017,72
2/5/2017,58
2/6/2017,29
2/7/2017,36
2/8/2017,42
2/9/2017,37
2/10/2017,39
2/11/2017,64
2/12/2017,67
2/13/2017,32
2/14/2017,29
2/15/2017,45
2/16/2017,34
2/17/2017,31
2/18/2017,48
2/19/2017,69
2/20/2017,33
2/21/2017,45
2/22/2017,38
2/23/2017,34
2/24/2017,47
2/25/2017,57
2/26/2017,67
2/27/2017,30
2/28/2017,34
3/1/2017,28
3/2/2017,37
3/3/2017,31
3/4/2017,54
3/5/2017,62
3/6/2017,33
3/7/2017,30
3/8/2017,39
3/9/2017,36
3/10/2017,30
3/11/2017,58
3/12/2017,42
3/13/2017,10
3/14/2017,26
3/15/2017,13
3/16/2017,27
3/17/2017,30
3/18/2017,40
3/19/2017,45
3/20/2017,23
3/21/2017,20
3/22/2017,27
3/23/2017,14
3/24/2017,24
3/25/2017,45
3/26/2017,50
3/27/2017,31
3/28/2017,34
3/29/2017,35
3/30/2017,26
3/31/2017,38
4/1/2017,59
4/2/2017,71
4/3/2017,44
4/4/2017,42
4/5/2017,25
4/6/2017,33
4/7/2017,37
4/8/2017,43
4/9/2017,47
4/10/2017,24
4/11/2017,33
4/12/2017,35
4/13/2017,45
4/14/2017,50
4/15/2017,50
4/16/2017,64
4/17/2017,44
4/18/2017,42
4/19/2017,40
4/20/2017,48
4/21/2017,52
4/22/2017,89
4/23/2017,92
4/24/2017,39
4/25/2017,53
4/26/2017,47
4/27/2017,46
4/28/2017,36
4/29/2017,63
4/30/2017,60
5/1/2017,59
5/2/2017,38
5/3/2017,47
5/4/2017,45
5/5/2017,55
5/6/2017,61
5/7/2017,81
5/8/2017,44
5/9/2017,30
5/10/2017,52
5/11/2017,35
5/12/2017,47
5/13/2017,65
5/14/2017,70
5/15/2017,30
5/16/2017,39
5/17/2017,37
5/18/2017,55
5/19/2017,40
5/20/2017,72
5/21/2017,76
5/22/2017,29
5/23/2017,23
5/24/2017,27
5/25/2017,41
5/26/2017,41
5/27/2017,57
5/28/2017,57
5/29/2017,30
5/30/2017,30
5/31/2017,25
6/1/2017,30
6/2/2017,41
6/3/2017,49
6/4/2017,39
6/5/2017,25
6/6/2017,29
6/7/2017,34
6/8/2017,35
6/9/2017,33
6/10/2017,51
6/11/2017,48
6/12/2017,31
6/13/2017,40
6/14/2017,31
6/15/2017,38
6/16/2017,30
6/17/2017,56
6/18/2017,55
6/19/2017,35
6/20/2017,17
6/21/2017,37
6/22/2017,41
6/23/2017,39
6/24/2017,47
6/25/2017,58
6/26/2017,44
6/27/2017,25
6/28/2017,41
6/29/2017,42
6/30/2017,42
7/1/2017,40
7/2/2017,54
7/3/2017,20
7/4/2017,36
7/5/2017,31
7/6/2017,34
7/7/2017,25
7/8/2017,43
7/9/2017,63
7/10/2017,28
7/11/2017,32
7/12/2017,31
7/13/2017,31
7/14/2017,29
7/15/2017,42
7/16/2017,51
7/17/2017,15
7/18/2017,26
7/19/2017,33
7/20/2017,21
7/21/2017,41
7/22/2017,50
7/23/2017,52
7/24/2017,31
7/25/2017,33
7/26/2017,37
7/27/2017,35
7/28/2017,33
7/29/2017,70
7/30/2017,75
7/31/2017,26
8/1/2017,33
8/2/2017,45
8/3/2017,37
8/4/2017,39
8/5/2017,58
8/6/2017,79
8/7/2017,48
8/8/2017,35
8/9/2017,43
8/10/2017,39
8/11/2017,42
8/12/2017,58
8/13/2017,66
8/14/2017,49
8/15/2017,42
8/16/2017,26
8/17/2017,29
8/18/2017,34
8/19/2017,55
8/20/2017,68
8/21/2017,34
8/22/2017,37
8/23/2017,33
8/24/2017,40
8/25/2017,41
8/26/2017,55
8/27/2017,60
8/28/2017,30
8/29/2017,31
8/30/2017,44
8/31/2017,36
9/1/2017,44
9/2/2017,76
9/3/2017,65
9/4/2017,48
9/5/2017,36
9/6/2017,30
9/7/2017,36
9/8/2017,34
9/9/2017,50
9/10/2017,58
9/11/2017,32
9/12/2017,28
9/13/2017,40
9/14/2017,18
9/15/2017,27
9/16/2017,51
9/17/2017,63
9/18/2017,29
9/19/2017,21
9/20/2017,33
9/21/2017,30
9/22/2017,23
9/23/2017,50
9/24/2017,59
9/25/2017,41
9/26/2017,24
9/27/2017,20
9/28/2017,29
9/29/2017,24
9/30/2017,44
10/1/2017,68
10/2/2017,53
10/3/2017,39
10/4/2017,36
10/5/2017,31
10/6/2017,34
10/7/2017,63
10/8/2017,65
10/9/2017,36
10/10/2017,32
10/11/2017,44
10/12/2017,41
10/13/2017,40
10/14/2017,85
10/15/2017,91
10/16/2017,61
10/17/2017,62
10/18/2017,61
10/19/2017,19
10/20/2017,33
10/21/2017,60
10/22/2017,38
10/23/2017,27
10/24/2017,27
10/25/2017,22
10/26/2017,26
10/27/2017,22
10/28/2017,37
10/29/2017,31
10/30/2017,20
10/31/2017,28
11/1/2017,27
11/2/2017,28
11/3/2017,32
11/4/2017,42
11/5/2017,49
11/6/2017,17
11/7/2017,21
11/8/2017,16
11/9/2017,18
11/10/2017,23
11/11/2017,48
11/12/2017,35
11/13/2017,16
11/14/2017,28
11/15/2017,24
11/16/2017,25
11/17/2017,28
11/18/2017,31
11/19/2017,49
11/20/2017,20
11/21/2017,26
11/22/2017,24
11/23/2017,21
11/24/2017,28
11/25/2017,35
11/26/2017,46
11/27/2017,16
11/28/2017,17
11/29/2017,17
11/30/2017,25
12/1/2017,30
12/2/2017,48
12/3/2017,27
12/4/2017,33
12/5/2017,18
12/6/2017,25
12/7/2017,20
12/8/2017,21
12/9/2017,44
12/10/2017,35
12/11/2017,16
12/12/2017,16
12/13/2017,19
12/14/2017,23
12/15/2017,18
12/16/2017,48
12/17/2017,37
12/18/2017,19
12/19/2017,26
12/20/2017,19
12/21/2017,30
12/22/2017,33
12/23/2017,38
12/24/2017,58
12/25/2017,30
12/26/2017,31
12/27/2017,37
12/28/2017,28
12/29/2017,24
12/30/2017,44
12/31/2017,32
1/1/2018,25
1/2/2018,23
1/3/2018,25
1/4/2018,23
1/5/2018,30
1/6/2018,30
1/7/2018,37
1/8/2018,15
1/9/2018,25
1/10/2018,19
1/11/2018,21
1/12/2018,17
1/13/2018,34
1/14/2018,25
1/15/2018,21
1/16/2018,20
1/17/2018,31
1/18/2018,22
1/19/2018,15
1/20/2018,28
1/21/2018,25
1/22/2018,14
1/23/2018,14
1/24/2018,22
